genome	depth	basecalling	assembler	errors
Klebsiella_variicola_AJ292	50	duplex	trycycler	1
Klebsiella_variicola_AJ292	55	simplex	canu	14
Klebsiella_variicola_AJ292	55	simplex	flye	6
Klebsiella_variicola_AJ292	55	simplex	miniasm	17
Klebsiella_variicola_AJ292	55	simplex	necat	3041
Klebsiella_variicola_AJ292	55	simplex	nextdenovo	9
Klebsiella_variicola_AJ292	55	simplex	raven	53900
Klebsiella_variicola_AJ292	55	simplex	trycycler	2
Klebsiella_variicola_AJ292	55	duplex	canu	11
Klebsiella_variicola_AJ292	55	duplex	flye	3
Klebsiella_variicola_AJ292	55	duplex	miniasm	29
Klebsiella_variicola_AJ292	55	duplex	necat	11481
Klebsiella_variicola_AJ292	55	duplex	nextdenovo	10
Klebsiella_variicola_AJ292	55	duplex	raven	53886
Klebsiella_variicola_AJ292	55	duplex	trycycler	1
Klebsiella_variicola_AJ292	60	simplex	canu	12
Klebsiella_variicola_AJ292	60	simplex	flye	5
Klebsiella_variicola_AJ292	60	simplex	miniasm	17
Klebsiella_variicola_AJ292	60	simplex	necat	2841
Klebsiella_variicola_AJ292	60	simplex	nextdenovo	9
Klebsiella_variicola_AJ292	60	simplex	raven	632
Klebsiella_variicola_AJ292	60	simplex	trycycler	2
Klebsiella_variicola_AJ292	60	duplex	canu	7
Klebsiella_variicola_AJ292	60	duplex	flye	2
Klebsiella_variicola_AJ292	60	duplex	miniasm	30
Klebsiella_variicola_AJ292	60	duplex	necat	2920
Klebsiella_variicola_AJ292	60	duplex	nextdenovo	8
Klebsiella_variicola_AJ292	60	duplex	raven	657
Klebsiella_variicola_AJ292	60	duplex	trycycler	0
Klebsiella_variicola_AJ292	65	simplex	canu	9
Klebsiella_variicola_AJ292	65	simplex	flye	2955
Klebsiella_variicola_AJ292	65	simplex	miniasm	36
Klebsiella_variicola_AJ292	65	simplex	necat	2950
Klebsiella_variicola_AJ292	65	simplex	nextdenovo	7
Klebsiella_variicola_AJ292	65	simplex	raven	54645
Klebsiella_variicola_AJ292	65	simplex	trycycler	1
Klebsiella_variicola_AJ292	65	duplex	canu	3
Klebsiella_variicola_AJ292	65	duplex	flye	1
Klebsiella_variicola_AJ292	65	duplex	miniasm	31
Klebsiella_variicola_AJ292	65	duplex	necat	2899
Klebsiella_variicola_AJ292	65	duplex	nextdenovo	7
Klebsiella_variicola_AJ292	65	duplex	raven	53878
Klebsiella_variicola_AJ292	65	duplex	trycycler	0
Klebsiella_variicola_AJ292	70	simplex	canu	11
Klebsiella_variicola_AJ292	70	simplex	flye	6
Klebsiella_variicola_AJ292	70	simplex	miniasm	46
Klebsiella_variicola_AJ292	70	simplex	necat	59
Klebsiella_variicola_AJ292	70	simplex	nextdenovo	13
Klebsiella_variicola_AJ292	70	simplex	raven	53895
