genome	depth	basecalling	assembler	errors
Streptococcus_pyogenes_RDH275	55	duplex	necat	28
Streptococcus_pyogenes_RDH275	55	duplex	nextdenovo	4
Streptococcus_pyogenes_RDH275	55	duplex	raven	2
Streptococcus_pyogenes_RDH275	55	duplex	trycycler	0
Streptococcus_pyogenes_RDH275	60	simplex	canu	11
Streptococcus_pyogenes_RDH275	60	simplex	flye	6
Streptococcus_pyogenes_RDH275	60	simplex	miniasm	14
Streptococcus_pyogenes_RDH275	60	simplex	necat	119
Streptococcus_pyogenes_RDH275	60	simplex	nextdenovo	0
Streptococcus_pyogenes_RDH275	60	simplex	raven	11
Streptococcus_pyogenes_RDH275	60	simplex	trycycler	1
Streptococcus_pyogenes_RDH275	60	duplex	canu	7
Streptococcus_pyogenes_RDH275	60	duplex	flye	2
Streptococcus_pyogenes_RDH275	60	duplex	miniasm	8
Streptococcus_pyogenes_RDH275	60	duplex	necat	51
Streptococcus_pyogenes_RDH275	60	duplex	nextdenovo	1
Streptococcus_pyogenes_RDH275	60	duplex	raven	11
Streptococcus_pyogenes_RDH275	60	duplex	trycycler	1
Streptococcus_pyogenes_RDH275	65	simplex	canu	9
Streptococcus_pyogenes_RDH275	65	simplex	flye	3
Streptococcus_pyogenes_RDH275	65	simplex	miniasm	4
Streptococcus_pyogenes_RDH275	65	simplex	necat	18
Streptococcus_pyogenes_RDH275	65	simplex	nextdenovo	3
Streptococcus_pyogenes_RDH275	65	simplex	raven	2
Streptococcus_pyogenes_RDH275	65	simplex	trycycler	0
Streptococcus_pyogenes_RDH275	65	duplex	canu	6
Streptococcus_pyogenes_RDH275	65	duplex	flye	1
Streptococcus_pyogenes_RDH275	65	duplex	miniasm	4
Streptococcus_pyogenes_RDH275	65	duplex	necat	29
Streptococcus_pyogenes_RDH275	65	duplex	nextdenovo	2
Streptococcus_pyogenes_RDH275	65	duplex	raven	2
Streptococcus_pyogenes_RDH275	65	duplex	trycycler	1
Streptococcus_pyogenes_RDH275	70	simplex	canu	6
Streptococcus_pyogenes_RDH275	70	simplex	flye	2
Streptococcus_pyogenes_RDH275	70	simplex	miniasm	12
Streptococcus_pyogenes_RDH275	70	simplex	necat	10
Streptococcus_pyogenes_RDH275	70	simplex	nextdenovo	3
Streptococcus_pyogenes_RDH275	70	simplex	raven	78
Streptococcus_pyogenes_RDH275	70	simplex	trycycler	1
Streptococcus_pyogenes_RDH275	70	duplex	canu	5
Streptococcus_pyogenes_RDH275	70	duplex	flye	3
Streptococcus_pyogenes_RDH275	70	duplex	miniasm	8
Streptococcus_pyogenes_RDH275	70	duplex	necat	21
Streptococcus_pyogenes_RDH275	70	duplex	nextdenovo	2
Streptococcus_pyogenes_RDH275	70	duplex	raven	5
Streptococcus_pyogenes_RDH275	70	duplex	trycycler	0
Streptococcus_pyogenes_RDH275	75	simplex	canu	7
Streptococcus_pyogenes_RDH275	75	simplex	flye	4
Streptococcus_pyogenes_RDH275	75	simplex	miniasm	10
Streptococcus_pyogenes_RDH275	75	simplex	necat	14
Streptococcus_pyogenes_RDH275	75	simplex	nextdenovo	2
Streptococcus_pyogenes_RDH275	75	simplex	raven	7
Streptococcus_pyogenes_RDH275	75	simplex	trycycler	1
Streptococcus_pyogenes_RDH275	75	duplex	canu	4
Streptococcus_pyogenes_RDH275	75	duplex	flye	2
Streptococcus_pyogenes_RDH275	75	duplex	miniasm	9
Streptococcus_pyogenes_RDH275	75	duplex	necat	12
Streptococcus_pyogenes_RDH275	75	duplex	nextdenovo	2
Streptococcus_pyogenes_RDH275	75	duplex	raven	7
Streptococcus_pyogenes_RDH275	75	duplex	trycycler	1
Streptococcus_pyogenes_RDH275	80	simplex	canu	2
Streptococcus_pyogenes_RDH275	80	simplex	flye	4
Streptococcus_pyogenes_RDH275	80	simplex	miniasm	9
Streptococcus_pyogenes_RDH275	80	simplex	necat	47
Streptococcus_pyogenes_RDH275	80	simplex	nextdenovo	2
Streptococcus_pyogenes_RDH275	80	simplex	raven	6
Streptococcus_pyogenes_RDH275	80	simplex	trycycler	0
Streptococcus_pyogenes_RDH275	80	duplex	canu	3
Streptococcus_pyogenes_RDH275	80	duplex	flye	2
Streptococcus_pyogenes_RDH275	80	duplex	miniasm	5
Streptococcus_pyogenes_RDH275	80	duplex	necat	21
Streptococcus_pyogenes_RDH275	80	duplex	nextdenovo	3
Streptococcus_pyogenes_RDH275	80	duplex	raven	6
Streptococcus_pyogenes_RDH275	80	duplex	trycycler	0
